id,category,product_url,name,ingredients
1,Oil_controller,https://www.ewg.org/skindeep/products/950955-Follain_Clarifying_Spot_Gel_Oil_Control/,Follain Clarifying Spot Gel Oil Control,"Water/Aqua/Eau, Salix Alba (Willow) Bark Extract, Camellia Sinensis Leaf Water, Isoamyl Laurate, Zingiber Officinale (Ginger) Water, Glycerin, Propanediol, Isododecane, Neopentyl Glycol Diethylhexanoate, Polyacrylate Crosspolymer-6, Arginine, Epilobium Fleischeri Extract, Nelumbo Nucifera Flower Extract, Nymphaea Caerulea Flower Extract, Tasmannia Lanceolata Fruit Extract, Salvia Sclarea (Clary) Extract, 1,2-Hexanediol, Panthenol, Dipotassium Glycyrrhizate, Benzoic Acid, Ethylhexylglycerin, Citric Acid, Potassium Sorbate"
2,Oil_controller,https://www.ewg.org/skindeep/products/950954-Follain_Mattifying_Moisturizer_Oil_Control/,Follain Mattifying Moisturizer Oil Control,"Water/Aqua/Eau, Glycerin, Gluconolactone, Rosa Damascena Flower Water, Propanediol, Isopentyldiol, Coconut Alkanes, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glycolic Acid, Heptyl Undecylenate, Sodium Hyaluronate, Salix Alba (Willow) Bark Extract, Bakuchiol, Palmitoyl Tripeptide-5, Allantoin, Trifolium Pratense (Clover) Flower Extract, Thymus Vulgaris (Thyme) Leaf Extract, Rosa Canina Fruit Extract, 1,2-Hexanediol, Sodium Hydroxide, Polyacrylate Crosspolymer-6, Caprylhydroxamic Acid, Coco-Caprylate/Caprate, Backhousia Citriodora Leaf Extract"
3,Oil_controller,https://www.ewg.org/skindeep/products/994345-Codex_Labs_SHAANT_Balancing_Oil_Control_Cream/,Codex Labs SHAANT Balancing Oil Control Cream,"Water (Aqua), Lactobacillus Ferment, Propanediol, Sodium Stearoyl Lactylate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Dicaprylyl Ether, Glycerin, Undecane, Oenothera Biennis (Evening Primrose) Oil, Glyceryl Stearate, Cetyl Alcohol, Lactobacillus, Tridecane, Bakuchiol, Astrocaryum Murumuru Seed Butter, Bidens Pilosa Extract, Gossypium Herbaceum (Cotton) Seed Oil, Linum Usitatissimum (Linseed) Seed Oil, Alpha Bisabolol, Fucus Spiralis (Spiral Wrack) Extract, Tetraselmis Chui Extract, Centella Asiatica Leaf Extract, Withania Somnifera Root Extract, Xanthan Gum, Sclerotium Gum, Hydrolyzed Sodium Hyaluronate, Ocimum Sanctum Leaf Oil, Octyldodecanol, Pogostemon Cablin (Patchouli) Leaf Extract, Cocos Nucifera (Coconut) Fruit Extract, Sodium Phytate, Citric Acid, Sodium Benzoate, Potassium Sorbate, Tocopherol, Eugenol"
4,Oil_controller,https://www.ewg.org/skindeep/products/851696-Rite_Aid_Renewal_Rise_and_No_Shine_Oil_Blotting_Papaer_2019_formulation/,Rite Aid Renewal Rise and No Shine Oil Blotting Papaer (2019 formulation),"CELLULOSE, CAMELLIA SINENSIS LEAF"
5,Oil_controller,https://www.ewg.org/skindeep/products/924944-Winky_Lux_Matcha_Blotting_Sheets_2020_formulation/,Winky Lux Matcha Blotting Sheets (2020 formulation),"TALC POWDER, GREEN TEA EXTRACT."
6,Oil_controller,https://www.ewg.org/skindeep/products/927469-Boscia_Blotting_Linens_Green_Tea/,"Boscia Blotting Linens, Green Tea","Cellulose, Camellia sinensis leaf powder"
7,Oil_controller,https://www.ewg.org/skindeep/products/880898-Topcare_Oil_Absorbing_Sheets_2018_formulation/,TopCare Oil Absorbing Sheets (2018 formulation),"POLYPROPYLENE, MINERAL OIL, DIMETHYLDIBENZYLIDENE SORBITOL, ULTRAMARINES."
8,Oil_controller,https://www.ewg.org/skindeep/products/887690-Equate_Oil_Absorbing_Sheets_2019_formulation/,Equate Oil Absorbing Sheets (2019 formulation),"POLY-PROPYLENE, MINERAL OIL, DIMETHYLDIBENZYLIDENE SORBITOL, ULTRAMARINES."
9,Oil_controller,https://www.ewg.org/skindeep/products/886650-Clean__Clear_Oil_Absorbing_Sheets_2019_formulation/,Clean & Clear Oil Absorbing Sheets (2019 formulation),"POLYPROPYLENE, MINERAL OIL, DIMETHYLDIBENZYLIDENE SORBITOL, ULTRAMARINES"
10,Oil_controller,https://www.ewg.org/skindeep/products/870083-Up__Up_Oil_Absorbing_Sheets_2020_formulation/,Up & Up Oil Absorbing Sheets (2020 formulation),"POLYPROPYLENE, MINERAL OIL, DIMETHYLDIBENZYLIDENE SORBITOL, ULTRAMARINES."
11,Oil_controller,https://www.ewg.org/skindeep/products/538293-CVS_Makeup_Perfecting_Face_Primer/,CVS Makeup Perfecting Face Primer,"Cyclohexasiloxane, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Beeswax, Silica, Disodium Stearoyl Glutamate, Aluminum Hydroxide. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499)."
12,Oil_controller,https://www.ewg.org/skindeep/products/850445-Nyx_Blotting_Paper_Blemish_Control/,"We're sorry, but something went wrong.",Bilinmeyen Bileşenler
1,Oil_controller,https://www.ewg.org/skindeep/products/950955-Follain_Clarifying_Spot_Gel_Oil_Control/,Follain Clarifying Spot Gel Oil Control,"Water/Aqua/Eau, Salix Alba (Willow) Bark Extract, Camellia Sinensis Leaf Water, Isoamyl Laurate, Zingiber Officinale (Ginger) Water, Glycerin, Propanediol, Isododecane, Neopentyl Glycol Diethylhexanoate, Polyacrylate Crosspolymer-6, Arginine, Epilobium Fleischeri Extract, Nelumbo Nucifera Flower Extract, Nymphaea Caerulea Flower Extract, Tasmannia Lanceolata Fruit Extract, Salvia Sclarea (Clary) Extract, 1,2-Hexanediol, Panthenol, Dipotassium Glycyrrhizate, Benzoic Acid, Ethylhexylglycerin, Citric Acid, Potassium Sorbate"
2,Oil_controller,https://www.ewg.org/skindeep/products/950954-Follain_Mattifying_Moisturizer_Oil_Control/,Follain Mattifying Moisturizer Oil Control,"Water/Aqua/Eau, Glycerin, Gluconolactone, Rosa Damascena Flower Water, Propanediol, Isopentyldiol, Coconut Alkanes, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glycolic Acid, Heptyl Undecylenate, Sodium Hyaluronate, Salix Alba (Willow) Bark Extract, Bakuchiol, Palmitoyl Tripeptide-5, Allantoin, Trifolium Pratense (Clover) Flower Extract, Thymus Vulgaris (Thyme) Leaf Extract, Rosa Canina Fruit Extract, 1,2-Hexanediol, Sodium Hydroxide, Polyacrylate Crosspolymer-6, Caprylhydroxamic Acid, Coco-Caprylate/Caprate, Backhousia Citriodora Leaf Extract"
